Wall time,Step,Value
1730232967.1089928,2048,0.6573113799095154
1730233026.7656703,4096,0.6573184132575989
1730233085.5724428,6144,0.6569594740867615
1730233144.3874795,8192,0.6785579919815063
1730233203.71078,10240,0.6676797866821289
1730233262.875919,12288,0.6785515546798706
1730233321.849579,14336,0.6640609502792358
1730233380.3225243,16384,0.6634427905082703
1730233438.6505349,18432,0.6817955374717712
1730233497.3243008,20480,0.6689730882644653
1730233555.484669,22528,0.6709713339805603
1730233615.2800474,24576,0.6942317485809326
1730233673.2825825,26624,0.6742850542068481
1730233732.1902633,28672,0.680851936340332
1730233790.7833335,30720,0.6671828031539917
1730233850.68566,32768,0.6745217442512512
1730233910.7053528,34816,0.6940078139305115
1730233972.9627123,36864,0.6907219290733337
1730234033.0177696,38912,0.6837306022644043
1730234095.1707766,40960,0.6935049891471863
1730234169.7283814,43008,0.7040311694145203
1730234237.2143178,45056,0.6919835209846497
1730234309.6515043,47104,0.6828406453132629
1730234385.6769948,49152,0.6846479773521423
1730234464.4719915,51200,0.7048048973083496
1730234544.0314188,53248,0.6960955262184143
1730234624.4288042,55296,0.7086291909217834
1730234700.9780202,57344,0.7050519585609436
1730234778.0449765,59392,0.703352689743042
1730234852.8707337,61440,0.6978294849395752
1730234932.670332,63488,0.6995660066604614
1730235010.7762332,65536,0.6818857789039612
1730235088.0418215,67584,0.700006365776062
1730235166.3765743,69632,0.7016051411628723
1730235244.713741,71680,0.7139254808425903
1730235322.6079006,73728,0.6907469034194946
1730239102.0967789,76048,0.7083498239517212
1730239187.9560685,78096,0.7064428329467773
1730239274.1500225,80144,0.6968533992767334
1730239361.906726,82192,0.6971578598022461
1730239449.1350195,84240,0.7080200910568237
1730239537.7967317,86288,0.6844286322593689
1730239622.9150891,88336,0.7152812480926514
1730239709.4527245,90384,0.7094898223876953
1730239794.0339375,92432,0.6951722502708435
1730239878.7369568,94480,0.7122935652732849
1730239964.7190907,96528,0.6992805004119873
1730240046.1261895,98576,0.7003570795059204
1730240125.2475903,100624,0.6965961456298828
1730240204.3044515,102672,0.7171265482902527
1730240283.4359238,104720,0.7046932578086853
1730240364.9243324,106768,0.7066669464111328
1730240445.9697127,108816,0.7116607427597046
1730240525.8579364,110864,0.6949558854103088
1730240617.3779337,112912,0.6958471536636353
1730240709.2026348,114960,0.6878097057342529
1730240806.2689855,117008,0.6981614232063293
1730240898.2255855,119056,0.6906813979148865
1730240988.818693,121104,0.7039604783058167
1730241079.6742487,123152,0.699796199798584
1730241168.8587573,125200,0.6934957504272461
1730241260.7008023,127248,0.706237256526947
1730241351.8923783,129296,0.696904718875885
1730241438.8770285,131344,0.6910342574119568
1730241528.3485916,133392,0.6786031126976013
1730241614.5207214,135440,0.7008188366889954
1730241702.3362153,137488,0.6886689066886902
1730241788.3730729,139536,0.68436199426651
1730241873.7701643,141584,0.6987416744232178
1730241955.0017743,143632,0.6868537664413452
1730242034.9806676,145680,0.6878236532211304
1730242115.1056914,147728,0.6993849873542786
1730242195.954219,149776,0.7090182900428772
1730242275.6576886,151824,0.6942082643508911
1730242356.6344273,153872,0.6916962265968323
1730242435.7250903,155920,0.6848281025886536
1730242515.0161574,157968,0.7015080451965332
1730242600.602793,160016,0.6837863922119141
1730242685.8871543,162064,0.7038450837135315
1730242767.5664668,164112,0.6911563873291016
1730242847.305347,166160,0.681448757648468
1730242928.9405801,168208,0.6862528324127197
1730243009.2974925,170256,0.6923608183860779
1730243089.6727204,172304,0.6877473592758179
1730243171.045769,174352,0.6942030787467957
1730243252.4481897,176400,0.6910641193389893
1730243334.3301797,178448,0.684965968132019
1730243416.2257648,180496,0.699109673500061
1730243498.307082,182544,0.6875528693199158
1730243580.436331,184592,0.6853838562965393
1730243661.0190463,186640,0.6853875517845154
1730243743.0572617,188688,0.6929101347923279
1730243825.9558387,190736,0.683560311794281
1730243906.3562746,192784,0.6881316304206848
1730243989.5283778,194832,0.6786307692527771
1730244069.1135619,196880,0.7005020976066589
1730244148.7095532,198928,0.6957593560218811
1730244229.6488461,200976,0.6973827481269836
1730244314.6456566,203024,0.6828713417053223
1730244394.1612244,205072,0.6787676811218262
1730244473.7583506,207120,0.6819857358932495
1730244553.6229668,209168,0.6834164261817932
1730244633.1270795,211216,0.6922552585601807
1730244712.4399662,213264,0.6850730776786804
1730244792.2012875,215312,0.6818444132804871
1730244871.5136511,217360,0.6783223748207092
1730244951.3343878,219408,0.6940097808837891
1730245031.0038443,221456,0.680325984954834
1730245110.7218785,223504,0.6922551393508911
1730245190.66121,225552,0.6961235404014587
1730245270.355266,227600,0.7048569321632385
